n,case,comparisons,swaps,arrayReads,arrayWrites,allocations,ns
100,random,1054,528,3363,1255,1,997200
1000,random,17183,8552,53469,19103,1,997000
10000,random,239165,119376,737081,258751,1,9966100
100000,random,3060239,1529361,9379199,3258721,1,91695700
100,sorted,1291,861,4503,1921,1,0
1000,sorted,22462,14975,76873,31949,1,996800
10000,sorted,325894,217263,1106313,454525,1,9473200
100000,sorted,4256839,2837893,14389463,5875785,1,111135100
100,reverse,944,417,2921,1033,1,0
1000,reverse,15965,7317,48563,16633,1,0
10000,reverse,226682,106697,686757,233393,1,4982700
100000,reverse,2926640,1397435,8848149,2994869,1,69769200
100,java,0,0,0,0,0,999900
1000,java,0,0,0,0,0,1992400
10000,java,0,0,0,0,0,4983600
100000,java,0,0,0,0,0,43853300
